generation,x,y,r,c,score
90,285.000000,195.000000,73.000000,a,73.000000
91,285.000000,195.000000,73.000000,a,73.000000
92,285.000000,195.000000,73.000000,a,73.000000
93,285.000000,195.000000,73.000000,a,73.000000
94,285.000000,195.000000,73.000000,a,73.000000
95,285.000000,195.000000,73.000000,a,73.000000
96,285.000000,195.000000,73.000000,a,73.000000
97,285.000000,195.000000,73.000000,a,73.000000
98,285.000000,195.000000,73.000000,a,73.000000
99,285.000000,195.000000,73.000000,a,73.000000
100,285.000000,195.000000,73.000000,a,73.000000
101,285.000000,195.000000,73.000000,a,73.000000
102,285.000000,195.000000,73.000000,a,73.000000
103,285.000000,195.000000,73.000000,a,73.000000
104,285.000000,195.000000,73.000000,a,73.000000
105,285.000000,195.000000,73.000000,a,73.000000
106,285.000000,195.000000,73.000000,a,73.000000
107,285.000000,195.000000,73.000000,a,73.000000
108,285.000000,195.000000,73.000000,a,73.000000
109,285.000000,195.000000,73.000000,a,73.000000
110,285.000000,195.000000,73.000000,a,73.000000
111,285.000000,195.000000,73.000000,a,73.000000
112,285.000000,195.000000,73.000000,a,73.000000
113,285.000000,195.000000,73.000000,a,73.000000
114,285.000000,195.000000,73.000000,a,73.000000
115,285.000000,195.000000,73.000000,a,73.000000
116,285.000000,195.000000,73.000000,a,73.000000
117,285.000000,195.000000,73.000000,a,73.000000
118,285.000000,195.000000,73.000000,a,73.000000
119,285.000000,195.000000,73.000000,a,73.000000
120,285.000000,195.000000,73.000000,a,73.000000
121,285.000000,195.000000,73.000000,a,73.000000
122,285.000000,195.000000,73.000000,a,73.000000
123,285.000000,195.000000,73.000000,a,73.000000
124,285.000000,195.000000,73.000000,a,73.000000
125,285.000000,195.000000,73.000000,a,73.000000
126,285.000000,195.000000,73.000000,a,73.000000
127,285.000000,195.000000,73.000000,a,73.000000
128,285.000000,195.000000,73.000000,a,73.000000
129,285.000000,195.000000,73.000000,a,73.000000
130,285.000000,195.000000,73.000000,a,73.000000
131,285.000000,195.000000,73.000000,a,73.000000
132,285.000000,195.000000,73.000000,a,73.000000
133,285.000000,195.000000,73.000000,a,73.000000
134,285.000000,195.000000,73.000000,a,73.000000
135,285.000000,195.000000,73.000000,a,73.000000
136,285.000000,195.000000,73.000000,a,73.000000
137,285.000000,195.000000,73.000000,a,73.000000
138,285.000000,195.000000,73.000000,a,73.000000
139,285.000000,195.000000,73.000000,a,73.000000
140,285.000000,195.000000,73.000000,a,73.000000
141,285.000000,195.000000,73.000000,a,73.000000
142,285.000000,195.000000,73.000000,a,73.000000
143,285.000000,195.000000,73.000000,a,73.000000
144,285.000000,195.000000,73.000000,a,73.000000
145,285.000000,195.000000,73.000000,a,73.000000
146,285.000000,195.000000,73.000000,a,73.000000
147,285.000000,195.000000,73.000000,a,73.000000
148,285.000000,195.000000,73.000000,a,73.000000
149,285.000000,195.000000,73.000000,a,73.000000
150,285.000000,195.000000,73.000000,a,73.000000
151,285.000000,195.000000,73.000000,a,73.000000
152,285.000000,195.000000,73.000000,a,73.000000
153,285.000000,195.000000,73.000000,a,73.000000
154,285.000000,195.000000,73.000000,a,73.000000
155,285.000000,195.000000,73.000000,a,73.000000
156,285.000000,195.000000,73.000000,a,73.000000
157,285.000000,195.000000,73.000000,a,73.000000
158,285.000000,195.000000,73.000000,a,73.000000
159,285.000000,195.000000,73.000000,a,73.000000
160,285.000000,195.000000,73.000000,a,73.000000
161,285.000000,195.000000,73.000000,a,73.000000
162,285.000000,195.000000,73.000000,a,73.000000
163,285.000000,195.000000,73.000000,a,73.000000
164,285.000000,195.000000,73.000000,a,73.000000
165,285.000000,195.000000,73.000000,a,73.000000
166,285.000000,195.000000,73.000000,a,73.000000
167,285.000000,195.000000,73.000000,a,73.000000
168,285.000000,195.000000,73.000000,a,73.000000
169,285.000000,195.000000,73.000000,a,73.000000
170,285.000000,195.000000,73.000000,a,73.000000
171,285.000000,195.000000,73.000000,a,73.000000
172,285.000000,196.000000,73.000000,a,73.000000
173,285.000000,195.000000,73.000000,a,73.000000
174,285.000000,196.000000,73.000000,a,73.000000
175,285.000000,195.000000,73.000000,a,73.000000
176,285.000000,195.000000,73.000000,a,73.000000
177,285.000000,195.000000,73.000000,a,73.000000
178,285.000000,195.000000,73.000000,a,73.000000
179,285.000000,195.000000,73.000000,a,73.000000
180,285.000000,195.000000,73.000000,a,73.000000
181,285.000000,195.000000,73.000000,a,73.000000
182,285.000000,195.000000,73.000000,a,73.000000
183,285.000000,195.000000,73.000000,a,73.000000
184,285.000000,195.000000,73.000000,a,73.000000
185,285.000000,195.000000,73.000000,a,73.000000
186,285.000000,195.000000,73.000000,a,73.000000
187,285.000000,195.000000,73.000000,a,73.000000
188,285.000000,195.000000,73.000000,a,73.000000
189,285.000000,195.000000,73.000000,a,73.000000
190,285.000000,195.000000,73.000000,a,73.000000
191,285.000000,195.000000,73.000000,a,73.000000
192,285.000000,195.000000,73.000000,a,73.000000
193,285.000000,195.000000,73.000000,a,73.000000
194,285.000000,195.000000,73.000000,a,73.000000
195,285.000000,195.000000,73.000000,a,73.000000
196,285.000000,195.000000,73.000000,a,73.000000
197,285.000000,195.000000,73.000000,a,73.000000
198,285.000000,195.000000,73.000000,a,73.000000
199,285.000000,195.000000,73.000000,a,73.000000
200,285.000000,195.000000,73.000000,a,73.000000
201,285.000000,195.000000,73.000000,a,73.000000
202,285.000000,195.000000,73.000000,a,73.000000
