generation,score
0,3236.344094
1,3236.344094
2,3236.344094
3,3236.344094
4,3236.344094
5,3134.691016
6,3098.056313
7,3098.056313
8,3098.056313
9,2987.931246
10,2987.931246
11,2987.931246
12,2853.488625
13,2853.488625
14,2853.488625
15,2635.184348
16,2635.184348
17,2635.184348
18,2569.024124
19,2488.155286
20,2488.155286
21,2488.155286
22,2488.155286
23,2305.780605
24,2305.780605
25,2305.780605
26,2305.780605
27,2305.780605
28,2305.780605
29,2305.780605
30,2305.780605
31,2281.715105
32,2189.994662
33,2189.994662
34,2189.994662
35,2189.994662
36,2189.994662
37,2189.994662
38,2189.994662
39,2189.994662
40,2189.994662
41,2189.994662
42,2189.994662
43,2189.994662
44,2189.994662
45,2189.994662
46,2189.994662
47,2189.994662
48,2189.994662
49,2189.994662
50,2189.994662
51,2189.994662
52,2189.994662
53,2189.994662
54,2189.994662
55,2189.994662
56,2189.994662
57,2189.994662
58,2189.994662
59,2189.994662
60,2189.994662
61,2189.994662
62,2189.994662
63,2189.994662
64,2189.994662
65,2137.467147
66,2137.467147
67,2137.467147
68,2137.467147
69,2137.467147
70,2137.467147
71,2137.467147
72,2085.482272
73,2085.482272
74,2085.482272
75,2085.482272
76,2085.482272
77,2085.482272
78,2085.482272
79,2085.482272
80,2085.482272
81,2085.482272
82,2085.482272
83,2085.482272
84,2084.664411
85,2084.664411
86,2082.884401
87,2082.884401
88,2053.878988
89,2053.878988
90,2053.878988
91,2053.878988
92,2053.878988
93,2053.878988
94,2053.878988
95,2053.878988
96,2053.878988
97,2053.878988
98,2053.878988
99,2053.878988
100,2053.878988
101,2053.878988
102,2053.878988
103,2053.878988
104,2053.878988
105,2053.878988
106,2053.878988
107,2053.878988
108,2053.878988
109,2053.878988
110,2053.878988
111,2053.878988
112,2053.878988
113,2053.878988
114,2053.878988
115,2053.878988
116,2053.878988
117,2053.878988
118,2053.878988
119,2053.878988
120,2053.878988
121,2053.878988
122,2053.878988
123,2053.878988
124,2053.878988
125,2053.878988
126,2053.878988
127,2053.878988
128,2053.878988
129,2053.878988
130,2053.878988
131,2053.878988
132,2035.342388
133,2035.342388
134,1998.584409
135,1998.584409
136,1998.584409
137,1998.584409
138,1998.584409
139,1998.584409
140,1950.334746
141,1860.430256
142,1860.430256
143,1860.430256
144,1860.430256
145,1860.430256
146,1860.430256
147,1860.430256
148,1860.430256
149,1860.430256
150,1860.430256
151,1860.430256
152,1860.430256
153,1860.430256
154,1860.430256
155,1860.430256
156,1860.430256
157,1860.430256
158,1860.430256
159,1860.430256
160,1860.430256
161,1860.430256
162,1860.430256
163,1860.430256
164,1860.430256
165,1860.430256
166,1860.430256
167,1860.430256
168,1860.430256
169,1860.430256
170,1860.430256
171,1860.430256
172,1860.430256
173,1860.430256
174,1860.430256
175,1750.301556
176,1750.301556
177,1750.301556
178,1750.301556
179,1750.301556
180,1750.301556
181,1750.301556
182,1750.301556
183,1750.301556
184,1750.301556
185,1750.301556
186,1750.301556
187,1750.301556
188,1750.301556
189,1750.301556
190,1750.301556
191,1750.301556
192,1750.301556
193,1750.301556
194,1750.301556
195,1750.301556
196,1750.301556
197,1750.301556
198,1750.301556
199,1750.301556
200,1750.301556
201,1750.301556
202,1750.301556
203,1750.301556
204,1750.301556
205,1750.301556
206,1750.301556
207,1728.287468
208,1728.287468
209,1728.287468
210,1728.287468
211,1728.287468
212,1728.287468
213,1728.287468
214,1728.287468
215,1728.287468
216,1728.287468
217,1728.287468
218,1728.287468
219,1728.287468
220,1728.287468
221,1728.287468
222,1728.287468
223,1728.287468
224,1728.287468
225,1728.287468
226,1728.287468
227,1728.287468
228,1663.889712
229,1663.889712
230,1663.889712
231,1663.889712
232,1663.889712
233,1663.889712
234,1663.889712
235,1663.889712
236,1663.889712
237,1663.889712
238,1663.889712
239,1663.889712
240,1663.889712
241,1663.889712
242,1663.889712
243,1663.889712
244,1663.889712
245,1663.889712
246,1663.889712
247,1663.889712
248,1663.889712
249,1663.889712
250,1663.889712
251,1663.889712
252,1663.889712
253,1663.889712
254,1663.889712
255,1663.889712
256,1663.889712
257,1663.889712
258,1663.889712
259,1663.889712
260,1663.889712
261,1663.889712
262,1663.889712
263,1663.889712
264,1663.889712
265,1663.889712
266,1663.889712
267,1663.889712
268,1663.889712
269,1663.889712
270,1663.889712
271,1663.889712
272,1663.889712
273,1663.889712
274,1663.889712
275,1663.889712
276,1663.889712
277,1663.889712
278,1663.889712
279,1663.889712
280,1663.889712
281,1663.889712
282,1663.889712
283,1663.889712
284,1663.889712
285,1663.889712
286,1663.889712
287,1663.889712
288,1663.889712
289,1663.889712
290,1663.889712
291,1663.889712
292,1663.889712
293,1663.889712
294,1663.889712
295,1663.889712
296,1663.889712
297,1663.889712
298,1663.889712
299,1663.889712
300,1663.889712
301,1663.889712
302,1663.889712
303,1663.889712
304,1663.889712
305,1663.889712
306,1663.889712
307,1663.889712
308,1663.889712
309,1663.889712
310,1663.889712
311,1663.889712
312,1663.889712
313,1663.889712
314,1663.889712
315,1663.889712
316,1663.889712
317,1663.889712
318,1663.889712
319,1663.889712
320,1663.889712
321,1663.889712
322,1663.889712
323,1663.889712
324,1663.889712
325,1663.889712
326,1663.889712
327,1663.889712
328,1663.889712
329,1663.889712
330,1663.889712
331,1663.889712
332,1654.293323
333,1654.293323
334,1654.293323
335,1654.293323
336,1654.293323
337,1654.293323
338,1654.293323
339,1654.293323
340,1654.293323
341,1654.293323
342,1654.293323
343,1654.293323
344,1654.293323
345,1654.293323
346,1654.293323
347,1654.293323
348,1654.293323
349,1654.293323
350,1654.293323
351,1654.293323
352,1654.293323
353,1654.293323
354,1654.293323
355,1654.293323
356,1654.293323
357,1654.293323
358,1654.293323
359,1654.293323
360,1654.293323
361,1654.293323
362,1654.293323
363,1654.293323
364,1654.293323
365,1654.293323
366,1654.293323
367,1654.293323
368,1654.293323
369,1654.293323
370,1654.293323
371,1654.293323
372,1654.293323
373,1654.293323
374,1654.293323
375,1654.293323
376,1654.293323
377,1654.293323
378,1654.293323
379,1654.293323
380,1654.293323
381,1654.293323
382,1654.293323
383,1654.293323
384,1654.293323
385,1654.293323
386,1654.293323
387,1654.293323
388,1654.293323
389,1654.293323
390,1654.293323
391,1654.293323
392,1654.293323
393,1654.293323
394,1654.293323
395,1654.293323
396,1654.293323
397,1654.293323
398,1654.293323
399,1654.293323
400,1654.293323
401,1654.293323
402,1654.293323
403,1654.293323
404,1654.293323
405,1654.293323
406,1654.293323
407,1654.293323
408,1654.293323
409,1654.293323
410,1654.293323
411,1654.293323
412,1654.293323
413,1654.293323
414,1654.293323
415,1654.293323
416,1654.293323
417,1654.293323
418,1654.293323
419,1654.293323
420,1654.293323
421,1654.293323
422,1654.293323
423,1654.293323
424,1654.293323
425,1654.293323
426,1654.293323
427,1654.293323
428,1654.293323
429,1654.293323
430,1654.293323
431,1654.293323
432,1654.293323
433,1654.293323
434,1654.293323
435,1654.293323
436,1654.293323
437,1654.293323
438,1654.293323
439,1654.293323
440,1654.293323
441,1654.293323
442,1654.293323
443,1654.293323
444,1654.293323
445,1654.293323
446,1654.293323
447,1654.293323
448,1654.293323
449,1654.293323
450,1654.293323
451,1654.293323
452,1654.293323
453,1654.293323
454,1654.293323
455,1654.293323
456,1654.293323
457,1654.293323
458,1654.293323
459,1654.293323
460,1654.293323
461,1654.293323
462,1654.293323
463,1654.293323
464,1654.293323
465,1654.293323
466,1654.293323
467,1654.293323
468,1654.293323
469,1654.293323
470,1654.293323
471,1654.293323
472,1654.293323
473,1654.293323
474,1654.293323
475,1654.293323
476,1654.293323
477,1654.293323
478,1654.293323
479,1654.293323
480,1654.293323
481,1654.293323
482,1654.293323
483,1654.293323
484,1654.293323
485,1654.293323
486,1654.293323
487,1654.293323
488,1654.293323
489,1654.293323
490,1654.293323
491,1654.293323
492,1654.293323
493,1654.293323
494,1654.293323
495,1654.293323
496,1654.293323
497,1654.293323
498,1654.293323
499,1654.293323
500,1654.293323
501,1654.293323
502,1654.293323
503,1654.293323
504,1654.293323
505,1654.293323
506,1654.293323
507,1654.293323
508,1654.293323
509,1654.293323
510,1654.293323
511,1654.293323
512,1654.293323
513,1654.293323
514,1654.293323
515,1654.293323
516,1654.293323
517,1654.293323
518,1654.293323
519,1654.293323
520,1654.293323
521,1654.293323
522,1654.293323
523,1654.293323
524,1654.293323
525,1654.293323
526,1654.293323
527,1654.293323
528,1654.293323
529,1654.293323
530,1654.293323
531,1654.293323
532,1654.293323
533,1654.293323
534,1654.293323
535,1654.293323
536,1654.293323
537,1654.293323
538,1654.293323
539,1654.293323
540,1654.293323
541,1654.293323
542,1654.293323
543,1654.293323
544,1654.293323
545,1654.293323
546,1654.293323
547,1654.293323
548,1654.293323
549,1654.293323
550,1654.293323
551,1654.293323
552,1654.293323
553,1654.293323
554,1654.293323
555,1654.293323
556,1654.293323
557,1654.293323
558,1654.293323
559,1654.293323
560,1654.293323
561,1654.293323
562,1654.293323
563,1654.293323
564,1654.293323
565,1654.293323
566,1654.293323
567,1654.293323
568,1654.293323
569,1654.293323
570,1654.293323
571,1654.293323
572,1654.293323
573,1654.293323
574,1654.293323
575,1654.293323
576,1654.293323
577,1654.293323
578,1654.293323
579,1654.293323
580,1654.293323
581,1654.293323
582,1654.293323
583,1654.293323
584,1654.293323
585,1654.293323
586,1654.293323
587,1654.293323
588,1654.293323
589,1654.293323
590,1654.293323
591,1654.293323
592,1654.293323
593,1654.293323
594,1654.293323
595,1654.293323
596,1654.293323
597,1654.293323
598,1654.293323
599,1654.293323
600,1654.293323
601,1654.293323
602,1654.293323
603,1654.293323
604,1654.293323
605,1654.293323
606,1654.293323
607,1654.293323
608,1654.293323
609,1654.293323
610,1654.293323
611,1654.293323
612,1654.293323
613,1654.293323
614,1654.293323
615,1654.293323
616,1654.293323
617,1654.293323
618,1654.293323
619,1654.293323
620,1654.293323
621,1654.293323
622,1654.293323
623,1654.293323
624,1654.293323
625,1654.293323
626,1654.293323
627,1654.293323
628,1654.293323
629,1654.293323
630,1654.293323
631,1654.293323
632,1654.293323
633,1654.293323
634,1654.293323
635,1654.293323
636,1654.293323
637,1654.293323
638,1654.293323
639,1654.293323
640,1654.293323
641,1654.293323
642,1654.293323
643,1654.293323
644,1654.293323
645,1654.293323
646,1654.293323
647,1654.293323
648,1654.293323
649,1654.293323
650,1654.293323
651,1654.293323
652,1654.293323
653,1654.293323
654,1654.293323
655,1654.293323
656,1654.293323
657,1654.293323
658,1654.293323
659,1654.293323
660,1654.293323
661,1654.293323
662,1654.293323
663,1654.293323
664,1654.293323
665,1654.293323
666,1654.293323
667,1654.293323
668,1654.293323
669,1654.293323
670,1654.293323
671,1654.293323
672,1654.293323
673,1654.293323
674,1654.293323
675,1654.293323
676,1654.293323
677,1654.293323
678,1654.293323
679,1654.293323
680,1654.293323
681,1654.293323
682,1654.293323
683,1654.293323
684,1654.293323
685,1654.293323
686,1654.293323
687,1654.293323
688,1654.293323
689,1654.293323
690,1654.293323
691,1654.293323
692,1654.293323
693,1654.293323
694,1654.293323
695,1654.293323
696,1654.293323
